climber_id,expid,membid,myear,sex,calcage,citizen,status,msolo,msuccess,msmtdate1,msmtdate2,msmtdate3,route1,route2,route3,route4,mo2used,mo2none,mo2climb,mo2descent,mo2sleep,death,deathdate,msmtbid,stdrte,new_route,new_status,climber_count
0,EVER88401,15,1988,M,49,Belgium,2nd Exp Doctor,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Doctor,
1,EVER88401,13,1988,F,30,Netherlands,Exp Doctor,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Doctor,
2,EVER88401,14,1988,M,32,Belgium,Climber,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,True,False,True,False,True,False,na,4,True,South,Climber,3.0
3,EVER88401,19,1988,M,40,Nepal,H-A Worker,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,4,True,South,Other,3.0
4,EVER88401,20,1988,M,29,Nepal,H-A Worker,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,True,False,True,False,True,True,23/12/1988,4,True,South,Other,3.0
5,EVER88401,18,1988,M,27,Nepal,H-A Worker,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Other,
6,EVER88401,16,1988,M,38,Poland,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
7,EVER88401,17,1988,M,60,Poland,Advisor,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Other,
8,EVER88401,12,1988,M,25,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
9,EVER88401,11,1988,M,51,Belgium,BC Food Manager,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Other,
10,EVER88401,1,1988,M,52,Belgium,Leader,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Leader,
11,EVER88401,4,1988,M,33,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
12,EVER88401,2,1988,M,31,Belgium,Deputy Leader,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Deputy,
13,EVER88401,6,1988,M,42,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,True,False,False,False,False,False,na,1,True,South,Climber,
14,EVER88401,7,1988,M,32,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
15,EVER88401,10,1988,M,25,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
16,EVER88401,8,1988,M,45,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,True,False,False,False,False,False,na,1,True,South,Climber,
17,EVER88401,9,1988,M,43,Belgium,BC Manager,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Other,
18,EVER88401,5,1988,M,36,Poland,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,False,False,False,False,False,na,0,True,South,Climber,
19,EVER88401,3,1988,F,32,Belgium,Climber,False,False,na,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,1,True,South,Climber,
20,EVER88402,2,1988,M,39,S Korea,Deputy Leader,False,False,na,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Deputy,
21,EVER88402,3,1988,M,29,S Korea,Climber,False,False,na,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Climber,
22,EVER88402,6,1988,M,27,S Korea,Climber,False,False,na,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Climber,
23,EVER88402,7,1988,M,26,S Korea,Climber,False,False,na,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Climber,
