id,expid,membid,myear,sex,calcage,citizen,status,msolo,msuccess,msmtdate1,msmtdate2,msmtdate3,route1,route2,route3,route4,mo2used,mo2none,mo2climb,mo2descent,mo2sleep,death,deathdate,msmtbid,stdrte,new_route,new_status,climber_count
2,EVER88401,14,1988,M,32,Belgium,Climber,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,True,False,True,False,True,False,na,4,True,South,Climber,3.0
3,EVER88401,19,1988,M,40,Nepal,H-A Worker,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,False,True,False,False,False,False,na,4,True,South,Other,3.0
4,EVER88401,20,1988,M,29,Nepal,H-A Worker,False,False,22/12/1988,na,na,S Col-SE Ridge,,,,True,False,True,False,True,True,23/12/1988,4,True,South,Other,3.0
24,EVER88402,13,1988,M,37,Nepal,H-A Worker,False,False,10/01/1989,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Other,3.0
27,EVER88402,12,1988,M,33,Nepal,H-A Worker,False,False,10/01/1989,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Other,3.0
32,EVER88402,9,1988,M,29,S Korea,Climber,False,False,10/01/1989,na,na,SW Face (Bonington rte),,,,False,True,False,False,False,False,na,1,False,Other,Climber,3.0
33,EVER89306,2,1989,M,26,USA,Climber,False,False,8/09/1989,na,na,N Col-N Face,,,,False,True,False,False,False,False,na,1,True,North,Climber,1.0
34,EVER89306,1,1989,M,30,USA,Leader,False,False,14/10/1989,na,na,N Col-N Face,,,,True,False,False,False,True,False,na,3,True,North,Leader,3.0
35,EVER89310,2,1989,M,30,Italy,Climber,False,False,27/09/1989,na,na,N Face (Japanese Couloir),,,,False,True,False,False,False,False,na,1,False,North,Climber,4.0
36,EVER89310,1,1989,M,22,Italy,Leader,False,False,27/09/1989,na,na,N Face (Japanese Couloir),,,,False,True,False,False,False,False,na,1,False,North,Leader,4.0
37,EVER89310,3,1989,M,25,Italy,Climber,False,False,27/09/1989,na,na,N Face (Japanese Couloir),,,,False,True,False,False,False,False,na,1,False,North,Climber,4.0
38,EVER89310,4,1989,M,26,Italy,Climber,False,False,27/09/1989,na,na,N Face (Japanese Couloir),,,,False,True,False,False,False,False,na,1,False,North,Climber,4.0
39,EVER89305,1,1989,M,28,Switzerland,Leader,False,False,6/09/1989,na,na,N Col-N Face,,,,False,True,False,False,False,False,na,1,True,North,Leader,1.0
40,EVER89305,6,1989,M,28,Switzerland,Climber,False,False,25/09/1989,na,na,N Col-N Face,,,,False,True,False,False,False,False,na,4,True,North,Climber,3.0
44,EVER89305,4,1989,M,32,Italy,Climber,False,False,25/09/1989,na,na,N Col-N Face,,,,False,True,False,False,False,False,na,4,True,North,Climber,3.0
