round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,optimizer
50,0.3197093605995178,0.8800913095474243,0.3240627944469452,0.8748720288276672,elu,20,0,50,11,0,uniform,Nadam
150,0.3149840533733368,0.8817591071128845,0.32084909081459045,0.8744624257087708,relu,10,0,150,9,0,normal,Nadam
150,0.3131743371486664,0.8814079761505127,0.31959909200668335,0.875281572341919,relu,30,0,150,9,1,normal,Nadam
50,0.31840232014656067,0.8795645833015442,0.323984831571579,0.874667227268219,relu,20,0,50,9,2,uniform,Nadam
150,0.31413570046424866,0.8810569047927856,0.3211861550807953,0.8744624257087708,relu,20,0,150,9,0,normal,Nadam
50,0.31425097584724426,0.8806179761886597,0.32150131464004517,0.8724144697189331,relu,10,0,50,10,0,normal,Nadam
150,0.3180248737335205,0.8812324404716492,0.32465049624443054,0.8742576241493225,elu,10,0,150,11,0,uniform,Adam
100,0.31757423281669617,0.8808813095092773,0.32411882281303406,0.874667227268219,relu,20,0,100,11,1,normal,Nadam
100,0.3194902241230011,0.8795645833015442,0.3234933912754059,0.8750767707824707,elu,20,0,100,10,1,normal,Nadam
100,0.31985393166542053,0.8795645833015442,0.3236016631126404,0.875281572341919,elu,30,0,100,11,2,normal,Nadam
