round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,optimizer
100,0.3214816749095917,0.877457857131958,0.3148457407951355,0.8818349242210388,elu,30,0,100,60,2,Nadam
200,0.3182922601699829,0.8787745833396912,0.31535694003105164,0.8812205791473389,elu,10,0,200,60,1,Adam
150,0.31389012932777405,0.8789501190185547,0.3135634958744049,0.8822445273399353,relu,30,0,150,30,2,Adam
200,0.3188014030456543,0.8779845237731934,0.31508737802505493,0.8814253807067871,elu,30,0,200,90,1,Nadam
150,0.3189640939235687,0.8776334524154663,0.31752294301986694,0.8816301226615906,elu,10,0,150,180,1,Nadam
150,0.3115537464618683,0.8788623809814453,0.3147498071193695,0.8820397257804871,relu,20,0,150,60,2,Adam
100,0.3131297826766968,0.879125714302063,0.3133627474308014,0.8824493288993835,relu,30,0,100,90,2,Nadam
200,0.30822521448135376,0.8801790475845337,0.3172474801540375,0.8810157775878906,relu,30,0,200,90,1,Adam
150,0.31044942140579224,0.8800035119056702,0.31287267804145813,0.8818349242210388,relu,30,0,150,90,1,Nadam
100,0.32147809863090515,0.8772823214530945,0.3159906268119812,0.8820397257804871,elu,20,0,100,60,1,Adam
100,0.3135797381401062,0.8781601190567017,0.315697580575943,0.8814253807067871,relu,30,0,100,90,2,Adam
200,0.30813199281692505,0.8800035119056702,0.31637731194496155,0.8799918293952942,relu,20,0,200,90,2,Nadam
100,0.31632304191589355,0.8781601190567017,0.31413576006889343,0.8820397257804871,relu,30,0,100,30,1,Adam
150,0.31894537806510925,0.8782479166984558,0.3207884430885315,0.8812205791473389,elu,10,0,150,60,2,Adam
100,0.3120342195034027,0.8790379166603088,0.31441986560821533,0.8812205791473389,relu,10,0,100,90,1,Nadam
100,0.31115421652793884,0.8793012499809265,0.31718549132347107,0.8822445273399353,relu,10,0,100,180,2,Nadam
100,0.32197242975234985,0.877457857131958,0.31493687629699707,0.8816301226615906,elu,30,0,100,30,1,Nadam
100,0.3219269812107086,0.8777211904525757,0.3175020217895508,0.8820397257804871,elu,20,0,100,90,2,Nadam
100,0.31997203826904297,0.8773700594902039,0.31478989124298096,0.8822445273399353,elu,10,0,100,30,2,Adam
100,0.3204226493835449,0.8777211904525757,0.318501353263855,0.8818349242210388,elu,10,0,100,90,1,Adam
200,0.3185117244720459,0.8778089880943298,0.3181682825088501,0.8814253807067871,elu,10,0,200,90,1,Adam
150,0.3195042014122009,0.877896785736084,0.3169145882129669,0.8820397257804871,elu,20,0,150,30,1,Nadam
200,0.3193899095058441,0.8778089880943298,0.31542298197746277,0.8822445273399353,elu,30,0,200,90,2,Adam
100,0.31139910221099854,0.8795645833015442,0.31388193368911743,0.8828588724136353,relu,30,0,100,180,2,Adam
150,0.3205047845840454,0.8780723214149475,0.3149128258228302,0.8820397257804871,elu,30,0,150,30,1,Adam
100,0.31998729705810547,0.8776334524154663,0.3191026747226715,0.8818349242210388,elu,10,0,100,90,2,Nadam
100,0.32117989659309387,0.8777211904525757,0.3163997232913971,0.8818349242210388,elu,20,0,100,60,2,Adam
100,0.3113918602466583,0.8789501190185547,0.3141457438468933,0.8824493288993835,relu,20,0,100,180,1,Nadam
100,0.3113486170768738,0.8780723214149475,0.3154488801956177,0.8806061744689941,relu,20,0,100,180,2,Adam
200,0.30769219994544983,0.879915714263916,0.31682059168815613,0.8808109760284424,relu,20,0,200,90,1,Nadam
