round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
100,0.38252362608909607,0.846554160118103,0.3912096619606018,0.8415753841400146,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Nadam
100,0.3858969211578369,0.8445234298706055,0.39375245571136475,0.8430559635162354,relu,10,0,100,30,1,sigmoid,binary_crossentropy,Adam
150,0.3874971568584442,0.8441426753997803,0.39216873049736023,0.8436481952667236,relu,20,0,150,30,2,sigmoid,binary_crossentropy,Adam
100,0.381258487701416,0.8449041843414307,0.39216384291648865,0.8406869769096375,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Adam
200,0.3768846392631531,0.8506155610084534,0.3957247734069824,0.8430559635162354,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Nadam
150,0.37477779388427734,0.8474425673484802,0.39171603322029114,0.8415753841400146,relu,30,0,150,240,1,sigmoid,binary_crossentropy,Adam
150,0.3746691048145294,0.8496001958847046,0.39109575748443604,0.8433520793914795,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Adam
200,0.38290634751319885,0.8473156690597534,0.39267605543136597,0.8406869769096375,relu,20,0,200,30,2,sigmoid,binary_crossentropy,Nadam
200,0.3824997544288635,0.8455387949943542,0.3917975425720215,0.846905529499054,relu,10,0,200,30,2,sigmoid,binary_crossentropy,Adam
150,0.38852569460868835,0.8413504362106323,0.3957518935203552,0.839798629283905,relu,30,0,150,30,1,sigmoid,binary_crossentropy,Adam
150,0.37358590960502625,0.8497270941734314,0.39574164152145386,0.8424637317657471,relu,10,0,150,120,2,sigmoid,binary_crossentropy,Nadam
100,0.3870692551136017,0.8432542085647583,0.39080241322517395,0.8427598476409912,relu,10,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.3814409077167511,0.8471887111663818,0.3905762732028961,0.8427598476409912,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Nadam
200,0.3797081708908081,0.8479502201080322,0.3915822207927704,0.8427598476409912,relu,20,0,200,60,2,sigmoid,binary_crossentropy,Adam
200,0.37444186210632324,0.849854052066803,0.38943836092948914,0.844832718372345,relu,30,0,200,120,2,sigmoid,binary_crossentropy,Adam
100,0.3811970055103302,0.8461733460426331,0.3886902332305908,0.8436481952667236,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Nadam
200,0.38452059030532837,0.8452849388122559,0.39289164543151855,0.8433520793914795,relu,20,0,200,30,1,sigmoid,binary_crossentropy,Adam
200,0.37888360023498535,0.8476964235305786,0.3895677924156189,0.8436481952667236,relu,20,0,200,60,1,sigmoid,binary_crossentropy,Adam
150,0.3788089454174042,0.8480771780014038,0.392198383808136,0.8421676158905029,relu,10,0,150,60,2,sigmoid,binary_crossentropy,Nadam
200,0.3640645146369934,0.8532809019088745,0.4002324044704437,0.8457210659980774,relu,10,0,200,240,1,sigmoid,binary_crossentropy,Nadam
200,0.36504387855529785,0.8559461832046509,0.4060905873775482,0.8451288342475891,relu,10,0,200,240,1,sigmoid,binary_crossentropy,Adam
150,0.3854367733001709,0.8468079566955566,0.39324164390563965,0.8409830927848816,relu,20,0,150,30,1,sigmoid,binary_crossentropy,Adam
100,0.37793686985969543,0.8483310341835022,0.3939363360404968,0.8421676158905029,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Adam
100,0.3853151798248291,0.846554160118103,0.3907158374786377,0.8451288342475891,relu,30,0,100,60,1,sigmoid,binary_crossentropy,Nadam
100,0.39061567187309265,0.8414773344993591,0.3965371251106262,0.8424637317657471,relu,30,0,100,30,2,sigmoid,binary_crossentropy,Nadam
100,0.3866564631462097,0.8446503281593323,0.3971026539802551,0.8392063975334167,relu,30,0,100,60,2,sigmoid,binary_crossentropy,Adam
100,0.3793182075023651,0.8480771780014038,0.39363619685173035,0.8415753841400146,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Adam
100,0.374549925327301,0.8492194414138794,0.39524802565574646,0.8409830927848816,relu,10,0,100,240,1,sigmoid,binary_crossentropy,Adam
100,0.37829312682151794,0.8482040762901306,0.38944822549819946,0.8433520793914795,relu,20,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.3838191330432892,0.8438888192176819,0.39940711855888367,0.8418715000152588,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Adam
