round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,losses,optimizer
150,0.05823708325624466,0.9866734147071838,0.06078743189573288,0.9872667789459229,relu,10,0,150,60,1,sigmoid,binary_crossentropy,Adam
200,0.05723469331860542,0.9869272708892822,0.06294979900121689,0.9869706630706787,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Nadam
150,0.056830402463674545,0.9866734147071838,0.061798643320798874,0.9863784313201904,relu,10,0,150,240,2,sigmoid,binary_crossentropy,Nadam
200,0.05701553449034691,0.986546516418457,0.06534088402986526,0.9872667789459229,relu,20,0,200,120,2,sigmoid,binary_crossentropy,Adam
100,0.059662826359272,0.986546516418457,0.059241510927677155,0.9875629544258118,relu,30,0,100,240,2,sigmoid,binary_crossentropy,Nadam
150,0.06274495273828506,0.9864196181297302,0.05735279619693756,0.9887474179267883,relu,30,0,150,30,1,sigmoid,binary_crossentropy,Adam
100,0.060651183128356934,0.9864196181297302,0.059388626366853714,0.9884513020515442,relu,20,0,100,120,1,sigmoid,binary_crossentropy,Adam
200,0.059122610837221146,0.986546516418457,0.0599922314286232,0.9875629544258118,relu,30,0,200,60,1,sigmoid,binary_crossentropy,Adam
200,0.06254661828279495,0.9864196181297302,0.059162553399801254,0.9881551861763,relu,30,0,200,30,1,sigmoid,binary_crossentropy,Adam
200,0.05507807433605194,0.9866734147071838,0.07017489522695541,0.9860823154449463,relu,10,0,200,240,1,sigmoid,binary_crossentropy,Nadam
150,0.05685243755578995,0.9869272708892822,0.06238650530576706,0.9872667789459229,relu,20,0,150,240,1,sigmoid,binary_crossentropy,Nadam
100,0.05935204401612282,0.986546516418457,0.058146920055150986,0.9875629544258118,relu,10,0,100,120,1,sigmoid,binary_crossentropy,Adam
150,0.060819800943136215,0.9864196181297302,0.05888224393129349,0.9884513020515442,relu,30,0,150,60,2,sigmoid,binary_crossentropy,Nadam
150,0.06266823410987854,0.9862926602363586,0.05764584615826607,0.9884513020515442,relu,10,0,150,30,2,sigmoid,binary_crossentropy,Nadam
200,0.05856366455554962,0.9869272708892822,0.0595087856054306,0.9872667789459229,relu,10,0,200,60,2,sigmoid,binary_crossentropy,Adam
100,0.06106369569897652,0.9864196181297302,0.057297900319099426,0.9884513020515442,relu,30,0,100,120,2,sigmoid,binary_crossentropy,Nadam
150,0.06217380240559578,0.9864196181297302,0.05796720087528229,0.9884513020515442,relu,30,0,150,30,2,sigmoid,binary_crossentropy,Nadam
150,0.05796996131539345,0.986546516418457,0.061046142131090164,0.9875629544258118,relu,20,0,150,120,2,sigmoid,binary_crossentropy,Adam
100,0.06123238056898117,0.9862926602363586,0.059005845338106155,0.9884513020515442,relu,10,0,100,60,1,sigmoid,binary_crossentropy,Adam
200,0.06096150726079941,0.986546516418457,0.06070007383823395,0.9875629544258118,relu,10,0,200,30,1,sigmoid,binary_crossentropy,Adam
200,0.05511915311217308,0.9869272708892822,0.06691087782382965,0.9860823154449463,relu,20,0,200,240,1,sigmoid,binary_crossentropy,Nadam
100,0.058745525777339935,0.9864196181297302,0.0595143623650074,0.9875629544258118,relu,20,0,100,240,1,sigmoid,binary_crossentropy,Nadam
100,0.0621349923312664,0.9864196181297302,0.057236943393945694,0.9884513020515442,relu,20,0,100,30,2,sigmoid,binary_crossentropy,Nadam
150,0.05727474018931389,0.9866734147071838,0.060475170612335205,0.9872667789459229,relu,30,0,150,240,2,sigmoid,binary_crossentropy,Nadam
100,0.06155719235539436,0.9864196181297302,0.05800070986151695,0.9884513020515442,relu,30,0,100,120,1,sigmoid,binary_crossentropy,Nadam
100,0.06200070679187775,0.9864196181297302,0.05741966888308525,0.9884513020515442,relu,30,0,100,60,2,sigmoid,binary_crossentropy,Nadam
100,0.05950607359409332,0.986546516418457,0.058191537857055664,0.9878590703010559,relu,30,0,100,240,2,sigmoid,binary_crossentropy,Adam
150,0.05974035710096359,0.986546516418457,0.059548161923885345,0.9884513020515442,relu,20,0,150,120,1,sigmoid,binary_crossentropy,Nadam
150,0.060774028301239014,0.9864196181297302,0.058607663959264755,0.9884513020515442,relu,20,0,150,60,2,sigmoid,binary_crossentropy,Nadam
100,0.060066673904657364,0.9864196181297302,0.058341626077890396,0.9884513020515442,relu,20,0,100,120,2,sigmoid,binary_crossentropy,Adam
